,Spearman_coef,Sp-value,mic_score,row
CHGA,0.43487382267239033,3.665599580253511e-63,0.43962232048647376,1499
PRR36,0.4352480766258059,2.7966260672941296e-63,0.4393222605389635,6416
ASPH,-0.04491359687184779,0.0996667251728299,0.43931480828645886,645
ITSN1,-0.11155535852138729,4.127788301390585e-05,0.43902140621198926,3993
PEX11A,-0.05968694371342643,0.028604849739736416,0.43894313679403874,5872
ATP1B1,0.5067510084502872,1.2048014028433025e-88,0.4388434148891893,702
SULT4A1,0.5180638658255947,3.06385557437934e-93,0.4384980000765347,8089
CCDC85C,0.5649051414915368,3.1116191779211257e-114,0.43830809878120564,1211
FSTL4,0.5197375005201398,6.190162280866338e-94,0.4383037741043827,3019
INA,0.4906322800471999,2.167483317919579e-82,0.43817646077881534,3865
MSI1,0.5928450941721937,1.894259907840462e-128,0.43768544247114194,4987
TMEM151B,0.511647194101446,1.2989362077990478e-90,0.4368841398493157,8473
RETSAT,-0.21918592783727375,4.290722893091158e-16,0.43663895755968213,6837
JAM3,0.4899643272202255,3.8726537289419557e-82,0.43660814450388735,4007
DNAJC6,0.5459902977032213,2.3521164227468915e-105,0.43631908324923974,2264
RAB3B,0.4015717395127603,2.806800824086211e-53,0.435853590301158,6632
GNAI1,-0.15090710080120287,2.680280362855258e-08,0.43584384838253565,3242
AGTR1,-0.249278670076961,1.6869927892124013e-20,0.43559447079254593,261
RTN1,0.31970747744283,2.433314661122936e-33,0.43544901880984244,7147
NR3C1,-0.5605090874341179,4.0524332856381814e-112,0.435238173682721,5458
EGLN3,0.5344024688271035,3.4398944841949213e-100,0.43467116455242494,2467
GABRA1,0.43581663847858915,1.852811731328707e-63,0.43460561008010745,3067
SDC4,0.5250622181824097,3.596841373288959e-96,0.434491718266417,7288
NPTX1,0.44798734172481686,2.2782263127890155e-67,0.434432514843541,5440
SNCB,0.45892287447911095,5.083081367218455e-71,0.43434895756971187,7771
ARF3,0.3816964426941544,6.812227504242665e-48,0.4335266330235743,511
EEF1A2,0.5012170784354001,1.8461564558935883e-86,0.43271431579045716,2437
CADM4,0.5447061568456971,8.991501777333365e-105,0.43257184776307994,1091
